date_utc,pm25
2025-07-10 17:21:42+00:00,24.54
2025-07-10 17:36:37+00:00,26.34
2025-07-11 06:35:09+00:00,12.6
2025-07-12 14:23:48+00:00,18.93
2025-07-12 14:53:42+00:00,20.94
